,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,EPISODE_NARRATIVE,Year,Month
72,201011,26,500,201011,27,300,46384,268911,MICHIGAN,2010,Lake-Effect Snow,Z,17,CHEBOYGAN,APX,26-NOV-10 05:00:00,EST-5,27-NOV-10 03:00:00,0,0,0,0,Trained Spotter,"Cold air entered the Great Lakes region on west-southwest winds.  This resulted in locally heavy lake effect snow on the 26th in parts of far Northern Lower Michigan.  Areas from Alanson and Burt Lake, eastward to Black Lake, picked up 6 to 8 inches of snow by mid-afternoon.  Gusty winds resulted in some blowing and drifting of the new snow.",2010,1
115,201011,22,1400,201011,23,1600,46151,267531,MICHIGAN,2010,Winter Weather,Z,9,GOGEBIC,MQT,22-NOV-10 14:00:00,CST-6,23-NOV-10 16:00:00,0,0,0,0,Trained Spotter,A low pressure system moving from the Lower Midwest into the Upper Great Lakes produced widespread moderate snow from the 22nd into the 23th.,2010,1
116,201011,22,1500,201011,23,700,46151,267532,MICHIGAN,2010,Winter Weather,Z,2,ONTONAGON,MQT,22-NOV-10 15:00:00,EST-5,23-NOV-10 07:00:00,0,0,0,0,COOP Observer,A low pressure system moving from the Lower Midwest into the Upper Great Lakes produced widespread moderate snow from the 22nd into the 23th.,2010,1
117,201011,22,1700,201011,23,730,46151,267534,MICHIGAN,2010,Winter Weather,Z,4,BARAGA,MQT,22-NOV-10 17:00:00,EST-5,23-NOV-10 07:30:00,0,0,0,0,COOP Observer,A low pressure system moving from the Lower Midwest into the Upper Great Lakes produced widespread moderate snow from the 22nd into the 23th.,2010,1
118,201011,22,1600,201011,23,800,46151,267535,MICHIGAN,2010,Winter Weather,Z,3,NORTHERN HOUGHTON,MQT,22-NOV-10 16:00:00,EST-5,23-NOV-10 08:00:00,0,0,0,0,COOP Observer,A low pressure system moving from the Lower Midwest into the Upper Great Lakes produced widespread moderate snow from the 22nd into the 23th.,2010,1
119,201011,24,1800,201011,25,630,46173,267644,MICHIGAN,2010,Winter Weather,Z,2,ONTONAGON,MQT,24-NOV-10 18:00:00,EST-5,25-NOV-10 06:30:00,0,0,0,0,COOP Observer,A low pressure system moving from the Northern Plains into northwest Ontario produced three to five inches of snow over portions of northwest Upper Michigan from the evening of the 24th into the morning of the 25th.,2010,1
120,201011,24,2100,201011,25,700,46173,267646,MICHIGAN,2010,Winter Weather,Z,1,KEWEENAW,MQT,24-NOV-10 21:00:00,EST-5,25-NOV-10 07:00:00,0,0,0,0,COOP Observer,A low pressure system moving from the Northern Plains into northwest Ontario produced three to five inches of snow over portions of northwest Upper Michigan from the evening of the 24th into the morning of the 25th.,2010,1
646,201011,24,2100,201011,25,700,46173,267649,MICHIGAN,2010,Winter Weather,Z,3,NORTHERN HOUGHTON,MQT,24-NOV-10 21:00:00,EST-5,25-NOV-10 07:00:00,0,0,0,0,COOP Observer,A low pressure system moving from the Northern Plains into northwest Ontario produced three to five inches of snow over portions of northwest Upper Michigan from the evening of the 24th into the morning of the 25th.,2010,1
647,201011,19,745,201011,20,835,46177,267674,MICHIGAN,2010,Winter Weather,Z,7,LUCE,MQT,19-NOV-10 07:45:00,EST-5,20-NOV-10 08:35:00,0,0,0,1,Newspaper,Snow-covered roads were blamed in a fatal accident which occurred in Luce County on the morning of the 19th.  A band of moderate snow moved through the area at the time of the accident.,2010,1
670,201011,26,500,201011,27,300,46384,268910,MICHIGAN,2010,Lake-Effect Snow,Z,16,EMMET,APX,26-NOV-10 05:00:00,EST-5,27-NOV-10 03:00:00,0,0,0,0,Trained Spotter,"Cold air entered the Great Lakes region on west-southwest winds.  This resulted in locally heavy lake effect snow on the 26th in parts of far Northern Lower Michigan.  Areas from Alanson and Burt Lake, eastward to Black Lake, picked up 6 to 8 inches of snow by mid-afternoon.  Gusty winds resulted in some blowing and drifting of the new snow.",2010,1
