,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,EPISODE_NARRATIVE,Year,Month
575,201502,1,100,201502,2,600,91975,558148,MICHIGAN,2015,Heavy Snow,Z,76,WAYNE,DTX,01-FEB-15 01:00:00,EST-5,02-FEB-15 06:00:00,0,0,0,0,Trained Spotter,"A strong and slowing moving low pressure system tracked through the Ohio Valley delivering eight to seventeen inches of snow along and south of the I-69 corridor, with four to eight inches north of I-69. Highest amounts where in and around southern Wayne county, as Detroit Metro Airport recorded 16.7 inches, the third highest snowfall total on record in Detroit. High pressure to the north maintained a cold feed of air with brisk northeast winds gusting around 25 mph, along with air temperatures mostly in the low 20s, leading to powdery snow. The drier nature of the snow and strong winds lead to significant drifts. This was a long duration event, as snow fell over a 24 hour period, with some locations toward the Ohio Border seeing snow for close to 30 hours. Here are some of the higher snowfall totals received: ||Romulus (Detroit Metro)... 16.7 inches. |Ann Arbor... 14.1 inches. |Monroe... 14.0 inches. |Algonac... 14.0 inches. |Lapeer... 11.9 inches. |Morenci... 11.7 inches. |Richmond... 11.7 inches. |White Lake... 11.2 inches. |Linden... 11.2 inches. |Whitmore Lake... 11.0 inches. |Owosso... 10.5 inches. |Lexington... 10.0 inches. |Flint (Flint Bishop)... 9.2 inches.",2015,2
576,201502,1,100,201502,2,600,91975,558149,MICHIGAN,2015,Heavy Snow,Z,83,MONROE,DTX,01-FEB-15 01:00:00,EST-5,02-FEB-15 06:00:00,0,0,0,0,Trained Spotter,"A strong and slowing moving low pressure system tracked through the Ohio Valley delivering eight to seventeen inches of snow along and south of the I-69 corridor, with four to eight inches north of I-69. Highest amounts where in and around southern Wayne county, as Detroit Metro Airport recorded 16.7 inches, the third highest snowfall total on record in Detroit. High pressure to the north maintained a cold feed of air with brisk northeast winds gusting around 25 mph, along with air temperatures mostly in the low 20s, leading to powdery snow. The drier nature of the snow and strong winds lead to significant drifts. This was a long duration event, as snow fell over a 24 hour period, with some locations toward the Ohio Border seeing snow for close to 30 hours. Here are some of the higher snowfall totals received: ||Romulus (Detroit Metro)... 16.7 inches. |Ann Arbor... 14.1 inches. |Monroe... 14.0 inches. |Algonac... 14.0 inches. |Lapeer... 11.9 inches. |Morenci... 11.7 inches. |Richmond... 11.7 inches. |White Lake... 11.2 inches. |Linden... 11.2 inches. |Whitmore Lake... 11.0 inches. |Owosso... 10.5 inches. |Lexington... 10.0 inches. |Flint (Flint Bishop)... 9.2 inches.",2015,2
614,201512,23,1808,201512,23,1808,101562,607432,MICHIGAN,2015,Thunderstorm Wind,C,91,LENAWEE,DTX,23-DEC-15 18:08:00,EST-5,23-DEC-15 18:08:00,0,0,0,0,Fire Department/Rescue,"A strong low pressure system tracking from the southern Plains into the Upper Great Lakes brought record December warmth to Southeast Michigan on Wednesday, December 23rd.  Stronger winds associated with this system interacted with the unseasonably warm air to produce the first December tornado in Michigan history during the evening.  This tornado occurred in Wayne County, just north-northeast of Canton.  The tornado was rated EF-1 with peak winds of 90 mph.  The tornado touched down at 643 pm EST, tracking 2 miles before lifting at 646 pm EST.",2015,2
615,201512,23,1818,201512,23,1820,101562,607434,MICHIGAN,2015,Thunderstorm Wind,C,115,MONROE,DTX,23-DEC-15 18:18:00,EST-5,23-DEC-15 18:20:00,0,0,0,0,NWS Storm Survey,"A strong low pressure system tracking from the southern Plains into the Upper Great Lakes brought record December warmth to Southeast Michigan on Wednesday, December 23rd.  Stronger winds associated with this system interacted with the unseasonably warm air to produce the first December tornado in Michigan history during the evening.  This tornado occurred in Wayne County, just north-northeast of Canton.  The tornado was rated EF-1 with peak winds of 90 mph.  The tornado touched down at 643 pm EST, tracking 2 miles before lifting at 646 pm EST.",2015,2
617,201512,14,1432,201512,14,1432,101560,607413,MICHIGAN,2015,Thunderstorm Wind,C,17,BAY,DTX,14-DEC-15 14:32:00,EST-5,14-DEC-15 14:32:00,0,0,0,0,911 Call Center,Thunderstorms moving through Tri-Cities region brought down a few trees and wires.,2015,2
618,201512,14,1435,201512,14,1435,101560,607414,MICHIGAN,2015,Thunderstorm Wind,C,17,BAY,DTX,14-DEC-15 14:35:00,EST-5,14-DEC-15 14:35:00,0,0,0,0,Trained Spotter,Thunderstorms moving through Tri-Cities region brought down a few trees and wires.,2015,2
637,201502,1,100,201502,2,600,91975,558150,MICHIGAN,2015,Heavy Snow,Z,82,LENAWEE,DTX,01-FEB-15 01:00:00,EST-5,02-FEB-15 06:00:00,0,0,0,0,Trained Spotter,"A strong and slowing moving low pressure system tracked through the Ohio Valley delivering eight to seventeen inches of snow along and south of the I-69 corridor, with four to eight inches north of I-69. Highest amounts where in and around southern Wayne county, as Detroit Metro Airport recorded 16.7 inches, the third highest snowfall total on record in Detroit. High pressure to the north maintained a cold feed of air with brisk northeast winds gusting around 25 mph, along with air temperatures mostly in the low 20s, leading to powdery snow. The drier nature of the snow and strong winds lead to significant drifts. This was a long duration event, as snow fell over a 24 hour period, with some locations toward the Ohio Border seeing snow for close to 30 hours. Here are some of the higher snowfall totals received: ||Romulus (Detroit Metro)... 16.7 inches. |Ann Arbor... 14.1 inches. |Monroe... 14.0 inches. |Algonac... 14.0 inches. |Lapeer... 11.9 inches. |Morenci... 11.7 inches. |Richmond... 11.7 inches. |White Lake... 11.2 inches. |Linden... 11.2 inches. |Whitmore Lake... 11.0 inches. |Owosso... 10.5 inches. |Lexington... 10.0 inches. |Flint (Flint Bishop)... 9.2 inches.",2015,2
723,201512,14,1350,201512,14,1350,101560,607408,MICHIGAN,2015,Thunderstorm Wind,C,145,SAGINAW,DTX,14-DEC-15 13:50:00,EST-5,14-DEC-15 13:50:00,0,0,0,0,911 Call Center,Thunderstorms moving through Tri-Cities region brought down a few trees and wires.,2015,2
724,201512,14,1351,201512,14,1351,101560,607409,MICHIGAN,2015,Thunderstorm Wind,C,111,MIDLAND,DTX,14-DEC-15 13:51:00,EST-5,14-DEC-15 13:51:00,0,0,0,0,911 Call Center,Thunderstorms moving through Tri-Cities region brought down a few trees and wires.,2015,2
725,201512,14,1403,201512,14,1403,101560,607410,MICHIGAN,2015,Thunderstorm Wind,C,111,MIDLAND,DTX,14-DEC-15 14:03:00,EST-5,14-DEC-15 14:03:00,0,0,0,0,911 Call Center,Thunderstorms moving through Tri-Cities region brought down a few trees and wires.,2015,2
