,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,Year,Month
38,200001,3,1500,200001,4,700,1090462,5128949,MICHIGAN,2000,Winter Storm,Z,46,ISABELLA,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,"A low pressure system developed over Oklahoma during the morning hours of the 3rd and moved quickly northeast to western Indiana by the evening hours of the 3rd. Due to the track of the system, the warm front got far enough north to produce mostly freezing rain along it across south central lower Michigan. The storm continued on a northeast track across lower Michigan and Lake Huron, and as the storm pulled away, freezing rain changed over to snow before coming to an end during the early morning hours of the 4th. The following is a list of storm total snowfall and ice accumulation for the 3rd through the 4th:County:			Storm Total Snowfall (inches):		Ice Accumulation (inches):Mason				6				0.3Oceana				6				0.3Lake				5				0.3Newaygo				4				0.3Osceola				3				0.5Clare				3				0.5Mecosta				2				0.5	Isabella				1				0.5Muskegon				1				0.3Montcalm				1				0.3Gratiot				1				0.3",,2000,1
39,200001,3,1500,200001,4,700,1090462,5128948,MICHIGAN,2000,Winter Storm,Z,45,MECOSTA,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,"A low pressure system developed over Oklahoma during the morning hours of the 3rd and moved quickly northeast to western Indiana by the evening hours of the 3rd. Due to the track of the system, the warm front got far enough north to produce mostly freezing rain along it across south central lower Michigan. The storm continued on a northeast track across lower Michigan and Lake Huron, and as the storm pulled away, freezing rain changed over to snow before coming to an end during the early morning hours of the 4th. The following is a list of storm total snowfall and ice accumulation for the 3rd through the 4th:County:			Storm Total Snowfall (inches):		Ice Accumulation (inches):Mason				6				0.3Oceana				6				0.3Lake				5				0.3Newaygo				4				0.3Osceola				3				0.5Clare				3				0.5Mecosta				2				0.5	Isabella				1				0.5Muskegon				1				0.3Montcalm				1				0.3Gratiot				1				0.3",,2000,1
44,200001,3,1500,200001,4,700,1090462,5128947,MICHIGAN,2000,Winter Storm,Z,44,NEWAYGO,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,"A low pressure system developed over Oklahoma during the morning hours of the 3rd and moved quickly northeast to western Indiana by the evening hours of the 3rd. Due to the track of the system, the warm front got far enough north to produce mostly freezing rain along it across south central lower Michigan. The storm continued on a northeast track across lower Michigan and Lake Huron, and as the storm pulled away, freezing rain changed over to snow before coming to an end during the early morning hours of the 4th. The following is a list of storm total snowfall and ice accumulation for the 3rd through the 4th:County:			Storm Total Snowfall (inches):		Ice Accumulation (inches):Mason				6				0.3Oceana				6				0.3Lake				5				0.3Newaygo				4				0.3Osceola				3				0.5Clare				3				0.5Mecosta				2				0.5	Isabella				1				0.5Muskegon				1				0.3Montcalm				1				0.3Gratiot				1				0.3",,2000,1
81,200001,19,1600,200001,21,800,1090466,5129040,MICHIGAN,2000,Winter Storm,Z,71,VAN BUREN,GRR,19-JAN-00 16:00:00,EST,21-JAN-00 08:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,"Moderate to heavy snow fell across southwest lower Michigan as a result of a trough of low pressure that remained nearly stationary across lower Michigan from the 19th through the 21st. North to northwest winds helped to enhance lake effect snow. The following is a list of snowfall totals by county:County:				Storm Total Snowfall (inches):Van Buren					12Allegan					11Mason					10Oceana					10Muskegon					9Ottawa					8Lighter snowfall accumulations of 3 to 6 inches were observed across Lake, Osceola, Clare, Newaygo, Mecosta, Isabella, Montcalm, Gratiot, Kent, Ionia, Clinton, Barry, Eaton, Ingham, Kalamazoo, Calhoun and Jackson counties.",,2000,1
82,200001,12,1200,200001,13,800,1090464,5128963,MICHIGAN,2000,Winter Storm,Z,45,MECOSTA,GRR,12-JAN-00 12:00:00,EST,13-JAN-00 08:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,A large band of moderate to heavy snow developed across central lower Michigan as a result of moisture overrunning a stationary front draped across southern Michigan. The heaviest snow fell during the late afternoon and overnight hours of the 12th into the 13th. The following is a list of snowfall accumulations by county:County:			Storm Total Snowfall (inches):Lake				10Mecosta				10Mason				8Osceola				8Oceana				8Newaygo				8Montcalm				8Clare				7Isabella				6Gratiot				5Muskegon				4,,2000,1
117,200001,3,1500,200001,4,700,1090462,5128950,MICHIGAN,2000,Winter Storm,Z,50,MUSKEGON,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,"A low pressure system developed over Oklahoma during the morning hours of the 3rd and moved quickly northeast to western Indiana by the evening hours of the 3rd. Due to the track of the system, the warm front got far enough north to produce mostly freezing rain along it across south central lower Michigan. The storm continued on a northeast track across lower Michigan and Lake Huron, and as the storm pulled away, freezing rain changed over to snow before coming to an end during the early morning hours of the 4th. The following is a list of storm total snowfall and ice accumulation for the 3rd through the 4th:County:			Storm Total Snowfall (inches):		Ice Accumulation (inches):Mason				6				0.3Oceana				6				0.3Lake				5				0.3Newaygo				4				0.3Osceola				3				0.5Clare				3				0.5Mecosta				2				0.5	Isabella				1				0.5Muskegon				1				0.3Montcalm				1				0.3Gratiot				1				0.3",,2000,1
136,200001,12,1200,200001,13,800,1090464,5128968,MICHIGAN,2000,Winter Storm,Z,56,OTTAWA,GRR,12-JAN-00 12:00:00,EST,13-JAN-00 08:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,A large band of moderate to heavy snow developed across central lower Michigan as a result of moisture overrunning a stationary front draped across southern Michigan. The heaviest snow fell during the late afternoon and overnight hours of the 12th into the 13th. The following is a list of snowfall accumulations by county:County:			Storm Total Snowfall (inches):Lake				10Mecosta				10Mason				8Osceola				8Oceana				8Newaygo				8Montcalm				8Clare				7Isabella				6Gratiot				5Muskegon				4,,2000,1
140,200001,17,1600,200001,17,2200,1090465,5128969,MICHIGAN,2000,Winter Storm,Z,51,MONTCALM,GRR,17-JAN-00 16:00:00,EST,17-JAN-00 22:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,"A narrow band of moderate to heavy snow set up across south central lower Michigan north of a warm front. The heaviest snow fell across Montcalm county, where 5 to as much as 7 inches of snow fell. Lighter snowfall accumulations of 3 to 5 inches were measured across Lake, Osceola, Newaygo, Isabella, Mecosta, Gratiot, Ionia, Clinton, Eaton, Ingham and Jackson counties.",,2000,1
153,200001,19,1600,200001,21,800,1090466,5128970,MICHIGAN,2000,Winter Storm,Z,37,MASON,GRR,19-JAN-00 16:00:00,EST,21-JAN-00 08:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,"Moderate to heavy snow fell across southwest lower Michigan as a result of a trough of low pressure that remained nearly stationary across lower Michigan from the 19th through the 21st. North to northwest winds helped to enhance lake effect snow. The following is a list of snowfall totals by county:County:				Storm Total Snowfall (inches):Van Buren					12Allegan					11Mason					10Oceana					10Muskegon					9Ottawa					8Lighter snowfall accumulations of 3 to 6 inches were observed across Lake, Osceola, Clare, Newaygo, Mecosta, Isabella, Montcalm, Gratiot, Kent, Ionia, Clinton, Barry, Eaton, Ingham, Kalamazoo, Calhoun and Jackson counties.",,2000,1
156,200001,12,1200,200001,13,800,1090464,5128962,MICHIGAN,2000,Winter Storm,Z,44,NEWAYGO,GRR,12-JAN-00 12:00:00,EST,13-JAN-00 08:00:00,0,0,0,0,,,NWS STORM SURVEY,,,,,,,,,,,,,,,,,,,,,,A large band of moderate to heavy snow developed across central lower Michigan as a result of moisture overrunning a stationary front draped across southern Michigan. The heaviest snow fell during the late afternoon and overnight hours of the 12th into the 13th. The following is a list of snowfall accumulations by county:County:			Storm Total Snowfall (inches):Lake				10Mecosta				10Mason				8Osceola				8Oceana				8Newaygo				8Montcalm				8Clare				7Isabella				6Gratiot				5Muskegon				4,,2000,1
