,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,EPISODE_NARRATIVE,Year,Month
735,201802,2,800,201802,3,800,122914,736730,MICHIGAN,2018,Winter Weather,Z,3,NORTHERN HOUGHTON,MQT,02-FEB-18 08:00:00,EST-5,03-FEB-18 08:00:00,0,0,0,0,COOP Observer,Moderate lake effect snow fell over much of northern Houghton County from the 2nd into the 3rd.,2018,2
736,201802,3,700,201802,3,1900,122915,736771,MICHIGAN,2018,Winter Weather,Z,11,DICKINSON,MQT,03-FEB-18 07:00:00,CST-6,03-FEB-18 19:00:00,0,0,0,0,COOP Observer,A low pressure system tracking from the Central Plains into the Lower Great Lakes dropped moderate to briefly heavy snow over portions of west and central Upper Michigan from the 3rd into early morning on the 4th.,2018,2
737,201802,3,900,201802,3,2100,122915,736774,MICHIGAN,2018,Winter Weather,Z,3,NORTHERN HOUGHTON,MQT,03-FEB-18 09:00:00,EST-5,03-FEB-18 21:00:00,0,0,0,0,COOP Observer,A low pressure system tracking from the Central Plains into the Lower Great Lakes dropped moderate to briefly heavy snow over portions of west and central Upper Michigan from the 3rd into early morning on the 4th.,2018,2
738,201802,3,800,201802,3,2200,122915,736775,MICHIGAN,2018,Winter Weather,Z,13,DELTA,MQT,03-FEB-18 08:00:00,EST-5,03-FEB-18 22:00:00,0,0,0,0,COOP Observer,A low pressure system tracking from the Central Plains into the Lower Great Lakes dropped moderate to briefly heavy snow over portions of west and central Upper Michigan from the 3rd into early morning on the 4th.,2018,2
739,201802,3,800,201802,4,800,122915,736777,MICHIGAN,2018,Winter Weather,Z,6,ALGER,MQT,03-FEB-18 08:00:00,EST-5,04-FEB-18 08:00:00,0,0,0,0,COOP Observer,A low pressure system tracking from the Central Plains into the Lower Great Lakes dropped moderate to briefly heavy snow over portions of west and central Upper Michigan from the 3rd into early morning on the 4th.,2018,2
745,201802,3,2000,201802,4,130,122915,736779,MICHIGAN,2018,Winter Weather,Z,5,MARQUETTE,MQT,03-FEB-18 20:00:00,EST-5,04-FEB-18 01:30:00,0,0,0,0,Social Media,A low pressure system tracking from the Central Plains into the Lower Great Lakes dropped moderate to briefly heavy snow over portions of west and central Upper Michigan from the 3rd into early morning on the 4th.,2018,2
746,201802,11,630,201802,12,630,122917,736782,MICHIGAN,2018,Winter Weather,Z,6,ALGER,MQT,11-FEB-18 06:30:00,EST-5,12-FEB-18 06:30:00,0,0,0,0,COOP Observer,The observer at Munising reported moderate snowfall from the 12th into the 13th.,2018,2
747,201802,23,0,201802,23,900,123326,739413,MICHIGAN,2018,Winter Storm,Z,3,NORTHERN HOUGHTON,MQT,23-FEB-18 00:00:00,EST-5,23-FEB-18 09:00:00,0,0,0,0,COOP Observer,A low pressure system passing south of Upper Michigan produced moderate to heavy snow across much of Upper Michigan from the evening of the 22nd into the morning of the  23rd.,2018,2
748,201802,22,2300,201802,23,900,123326,739415,MICHIGAN,2018,Winter Weather,Z,10,IRON,MQT,22-FEB-18 23:00:00,CST-6,23-FEB-18 09:00:00,0,0,0,0,Social Media,A low pressure system passing south of Upper Michigan produced moderate to heavy snow across much of Upper Michigan from the evening of the 22nd into the morning of the  23rd.,2018,2
749,201802,23,0,201802,23,900,123326,739418,MICHIGAN,2018,Winter Weather,Z,7,LUCE,MQT,23-FEB-18 00:00:00,EST-5,23-FEB-18 09:00:00,0,0,0,0,Social Media,A low pressure system passing south of Upper Michigan produced moderate to heavy snow across much of Upper Michigan from the evening of the 22nd into the morning of the  23rd.,2018,2
758,201802,23,0,201802,23,900,123326,739419,MICHIGAN,2018,Winter Weather,Z,5,MARQUETTE,MQT,23-FEB-18 00:00:00,EST-5,23-FEB-18 09:00:00,0,0,0,0,NWS Employee,A low pressure system passing south of Upper Michigan produced moderate to heavy snow across much of Upper Michigan from the evening of the 22nd into the morning of the  23rd.,2018,2
759,201802,23,0,201802,23,800,123326,739420,MICHIGAN,2018,Winter Weather,Z,2,ONTONAGON,MQT,23-FEB-18 00:00:00,EST-5,23-FEB-18 08:00:00,0,0,0,0,COOP Observer,A low pressure system passing south of Upper Michigan produced moderate to heavy snow across much of Upper Michigan from the evening of the 22nd into the morning of the  23rd.,2018,2
760,201802,23,0,201802,23,900,123326,739422,MICHIGAN,2018,Winter Weather,Z,6,ALGER,MQT,23-FEB-18 00:00:00,EST-5,23-FEB-18 09:00:00,0,0,0,0,Social Media,A low pressure system passing south of Upper Michigan produced moderate to heavy snow across much of Upper Michigan from the evening of the 22nd into the morning of the  23rd.,2018,2
761,201802,23,0,201802,23,700,123326,739425,MICHIGAN,2018,Winter Weather,Z,14,SOUTHERN SCHOOLCRAFT,MQT,23-FEB-18 00:00:00,EST-5,23-FEB-18 07:00:00,0,0,0,0,Social Media,A low pressure system passing south of Upper Michigan produced moderate to heavy snow across much of Upper Michigan from the evening of the 22nd into the morning of the  23rd.,2018,2
762,201802,24,2000,201802,25,1400,123345,739563,MICHIGAN,2018,Winter Storm,Z,3,NORTHERN HOUGHTON,MQT,24-FEB-18 20:00:00,EST-5,25-FEB-18 14:00:00,0,0,0,0,Law Enforcement,A storm system originating over the Southern Rockies lifted across the Upper Great Lakes and brought moderate to heavy snow to the west half of Upper Michigan from the evening of the 24th into the 25th.  Some light freezing rain was also reported over mainly south central and eastern portions of the U.P.,2018,2
