,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,Year,Month
96,200911,18,600,200911,18,1000,34946,201589,MICHIGAN,2009,Winter Weather,Z,10,IRON,MQT,11/18/2009 6:00,CST-6,11/18/2009 10:00,0,0,0,0,0.00K,0.00K,Broadcast Media,,,,,,,,,,,,,,,,,,,,,,"Widespread frost formation resulted in slippery highways, which in turn, caused numerous accidents on the morning of the 18th.  Accidents were reported all but the western counties of Upper Michigan.",Frost-covered roads caused several accidents in Iron County on the morning of the 18th.,2009,1
97,200911,18,700,200911,18,1100,34946,201590,MICHIGAN,2009,Winter Weather,Z,7,LUCE,MQT,11/18/2009 7:00,EST-5,11/18/2009 11:00,0,0,0,0,0.00K,0.00K,Broadcast Media,,,,,,,,,,,,,,,,,,,,,,"Widespread frost formation resulted in slippery highways, which in turn, caused numerous accidents on the morning of the 18th.  Accidents were reported all but the western counties of Upper Michigan.",Frost-covered roads caused several accidents in Luce County on the morning of the 18th.,2009,1
98,200911,18,700,200911,18,1100,34946,201592,MICHIGAN,2009,Winter Weather,Z,5,MARQUETTE,MQT,11/18/2009 7:00,EST-5,11/18/2009 11:00,0,0,0,0,0.00K,0.00K,Broadcast Media,,,,,,,,,,,,,,,,,,,,,,"Widespread frost formation resulted in slippery highways, which in turn, caused numerous accidents on the morning of the 18th.  Accidents were reported all but the western counties of Upper Michigan.",Frost-covered roads caused several accidents in Marquette County on the morning of the 18th.,2009,1
117,200912,9,200,200912,9,2200,35598,205905,MICHIGAN,2009,Winter Storm,Z,18,PRESQUE ISLE,APX,12/9/2009 2:00,EST-5,12/9/2009 22:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A powerful low pressure system moved across Lower Michigan on the 9th.  Snow surged northward ahead of the low, with intense snowfall rates on the morning of the 9th.  By evening, snowfall totals of 6 to 12 inches were common across all of Northern Michigan.  Glennie, Rogers City, and Central Lake all had a foot of snow during the day, while Curtis picked up 16 inches.  The snow transitioned to lake effect snow that night, and lasted into the 11th in some of the snowbelts.  Localized 4 to 8 inch accumulations were common in a given 12 hour period.  There was a considerable amount of wind, and thus blowing and drifting snow, especially on the 9th.  Gaylord had its 2nd largest three-day snowfall since 1950, with 21.8 inches.  Almost all school districts were closed on the 9th, and some schools called off classes for three consecutive days.",,2009,2
162,200912,9,1200,200912,9,1700,35377,204484,MICHIGAN,2009,High Wind,Z,76,WAYNE,DTX,12/9/2009 12:00,EST-5,12/9/2009 17:00,0,0,0,0,250.00K,0.00K,Broadcast Media,52.0,EG,,,,,,,,,,,,,,,,,,,,"A strong low pressure system tracked through Northern Lower Michigan, dragging a cold front through southeast Michigan. Wind gusts to 60 mph occurred south of M-59, which lead to downed tree branches along with a few trees and power lines. About 40,000 customers lost power, most concentrated in Wayne County.",,2009,2
475,200912,9,0,200912,9,1100,35598,206062,MICHIGAN,2009,Winter Storm,Z,41,GLADWIN,APX,12/9/2009 0:00,EST-5,12/9/2009 11:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A powerful low pressure system moved across Lower Michigan on the 9th.  Snow surged northward ahead of the low, with intense snowfall rates on the morning of the 9th.  By evening, snowfall totals of 6 to 12 inches were common across all of Northern Michigan.  Glennie, Rogers City, and Central Lake all had a foot of snow during the day, while Curtis picked up 16 inches.  The snow transitioned to lake effect snow that night, and lasted into the 11th in some of the snowbelts.  Localized 4 to 8 inch accumulations were common in a given 12 hour period.  There was a considerable amount of wind, and thus blowing and drifting snow, especially on the 9th.  Gaylord had its 2nd largest three-day snowfall since 1950, with 21.8 inches.  Almost all school districts were closed on the 9th, and some schools called off classes for three consecutive days.",,2009,2
476,200912,9,0,200912,9,1100,35598,206063,MICHIGAN,2009,Winter Storm,Z,42,ARENAC,APX,12/9/2009 0:00,EST-5,12/9/2009 11:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A powerful low pressure system moved across Lower Michigan on the 9th.  Snow surged northward ahead of the low, with intense snowfall rates on the morning of the 9th.  By evening, snowfall totals of 6 to 12 inches were common across all of Northern Michigan.  Glennie, Rogers City, and Central Lake all had a foot of snow during the day, while Curtis picked up 16 inches.  The snow transitioned to lake effect snow that night, and lasted into the 11th in some of the snowbelts.  Localized 4 to 8 inch accumulations were common in a given 12 hour period.  There was a considerable amount of wind, and thus blowing and drifting snow, especially on the 9th.  Gaylord had its 2nd largest three-day snowfall since 1950, with 21.8 inches.  Almost all school districts were closed on the 9th, and some schools called off classes for three consecutive days.",,2009,2
650,200912,9,1200,200912,9,1700,35377,204485,MICHIGAN,2009,High Wind,Z,75,WASHTENAW,DTX,12/9/2009 12:00,EST-5,12/9/2009 17:00,0,0,0,0,100.00K,0.00K,Broadcast Media,52.0,EG,,,,,,,,,,,,,,,,,,,,"A strong low pressure system tracked through Northern Lower Michigan, dragging a cold front through southeast Michigan. Wind gusts to 60 mph occurred south of M-59, which lead to downed tree branches along with a few trees and power lines. About 40,000 customers lost power, most concentrated in Wayne County.",,2009,2
684,200912,9,100,200912,10,300,35598,206053,MICHIGAN,2009,Winter Storm,Z,28,CRAWFORD,APX,12/9/2009 1:00,EST-5,12/10/2009 3:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A powerful low pressure system moved across Lower Michigan on the 9th.  Snow surged northward ahead of the low, with intense snowfall rates on the morning of the 9th.  By evening, snowfall totals of 6 to 12 inches were common across all of Northern Michigan.  Glennie, Rogers City, and Central Lake all had a foot of snow during the day, while Curtis picked up 16 inches.  The snow transitioned to lake effect snow that night, and lasted into the 11th in some of the snowbelts.  Localized 4 to 8 inch accumulations were common in a given 12 hour period.  There was a considerable amount of wind, and thus blowing and drifting snow, especially on the 9th.  Gaylord had its 2nd largest three-day snowfall since 1950, with 21.8 inches.  Almost all school districts were closed on the 9th, and some schools called off classes for three consecutive days.",,2009,2
688,200912,9,0,200912,10,300,35598,206056,MICHIGAN,2009,Winter Storm,Z,31,MANISTEE,APX,12/9/2009 0:00,EST-5,12/10/2009 3:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"A powerful low pressure system moved across Lower Michigan on the 9th.  Snow surged northward ahead of the low, with intense snowfall rates on the morning of the 9th.  By evening, snowfall totals of 6 to 12 inches were common across all of Northern Michigan.  Glennie, Rogers City, and Central Lake all had a foot of snow during the day, while Curtis picked up 16 inches.  The snow transitioned to lake effect snow that night, and lasted into the 11th in some of the snowbelts.  Localized 4 to 8 inch accumulations were common in a given 12 hour period.  There was a considerable amount of wind, and thus blowing and drifting snow, especially on the 9th.  Gaylord had its 2nd largest three-day snowfall since 1950, with 21.8 inches.  Almost all school districts were closed on the 9th, and some schools called off classes for three consecutive days.",,2009,2
