,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,Year,Month
1110,201212,9,1730,201212,10,0,70056,420527,MICHIGAN,2012,Winter Weather,Z,3,NORTHERN HOUGHTON,MQT,09-DEC-12 17:30:00,EST-5,10-DEC-12 00:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,A weakening low pressure system moving east through Lower Michigan produced moderate snow over portions of west and central Upper Michigan from the 9th into the morning of the 10th.,Spotters in Houghton measured between four and five inches of snow on the evening of the 9th.,2012,2
1145,201212,26,1000,201212,26,2000,69748,418413,MICHIGAN,2012,Winter Weather,Z,77,BERRIEN,IWX,26-DEC-12 10:00:00,EST-5,26-DEC-12 20:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A deepening low pressure system tracking northeast through the Ohio Valley brought accumulating snow and blowing snow to southern Michigan on December 26th.,"Snow fell on December 26th across the eastern half of Berrien County, with total snow accumulations generally ranging between 2 and 4 inches. The falling snow combined with wind gusts in excess of 30 mph reduced visibilities to less than a quarter of a mile at times. Temperatures were in the upper 20s as the snow fell which allowed roads to become snow covered and slick. This resulted in slide-offs and accidents across the region.",2012,2
1146,201212,26,1000,201212,26,2000,69748,418414,MICHIGAN,2012,Winter Weather,Z,78,CASS,IWX,26-DEC-12 10:00:00,EST-5,26-DEC-12 20:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A deepening low pressure system tracking northeast through the Ohio Valley brought accumulating snow and blowing snow to southern Michigan on December 26th.,"Snow fell on December 26th, with total snow accumulations generally ranging between 2 and 4 inches. The falling snow combined with wind gusts in excess of 30 mph reduced visibilities to less than a quarter of a mile at times. Temperatures were in the upper 20s as the snow fell which allowed roads to become snow covered and slick. This resulted in slide-offs and accidents across the region.",2012,2
1151,201212,26,1000,201212,26,2000,69748,418416,MICHIGAN,2012,Winter Weather,Z,79,ST. JOSEPH,IWX,26-DEC-12 10:00:00,EST-5,26-DEC-12 20:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A deepening low pressure system tracking northeast through the Ohio Valley brought accumulating snow and blowing snow to southern Michigan on December 26th.,"Snow fell on December 26th, with total snow accumulations generally ranging between 2 and 4 inches. The falling snow combined with wind gusts in excess of 30 mph reduced visibilities to less than a quarter of a mile at times. Temperatures were in the upper 20s as the snow fell which allowed roads to become snow covered and slick. This resulted in slide-offs and accidents across the region.",2012,2
1244,201201,12,1700,201201,13,2200,59221,354391,MICHIGAN,2012,Winter Storm,Z,81,HILLSDALE,IWX,12-JAN-12 17:00:00,EST-5,13-JAN-12 22:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,Snow and blowing snow impacted much of southern Michigan late January 12th into January 13th as a low pressure system deepened northward towards Lake Huron. System snow transitioned to heavy lake effect snow on January 13th with total snow accumulations generally ranging between 6 and 10 inches.,"Snow, moderate to heavy at times, developed during the late afternoon hours of January 12th and continued through most of January 13th. Total snow accumulations across the county generally ranged between 4 and 9 inches, heaviest across the northern half of the county. A CoCoRaHS observer reported 8.3 inches of total snow accumulation 6 miles east-southeast of Jonesville. Sustained winds of 15 to 25 mph, with gusts to 30 mph, led to considerable blowing and drifting snow. Slide-offs and accidents were reported across the region.",2012,1
1309,201202,10,0,201202,10,800,61041,364906,MICHIGAN,2012,Winter Weather,Z,6,ALGER,MQT,10-FEB-12 00:00:00,EST-5,10-FEB-12 08:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Moderate lake effect snow showers and blowing snow in the wake of a strong cold front affected portions of west and north central Upper Michigan from the evening of the 9th into the morning of the 10th.,Spotters from Eben Junction to Munising reported three to four inches of snow along with considerable blowing and drifting of snow.  Visibility was reduced to one half mile or less at times.,2012,2
1310,201202,24,1100,201202,25,1000,61105,365358,MICHIGAN,2012,Lake-Effect Snow,Z,9,GOGEBIC,MQT,24-FEB-12 11:00:00,CST-6,25-FEB-12 10:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,Heavy lake effect snow accumulated over Gogebic and Ontonagon counties from the 24th into the morning of the 25th in the wake of a cold front.,Total lake effect snow accumulation between Bessemer and Ironwood measured from seven to nine inches with one-inch per hour snowfall rates recorded.,2012,2
1311,201202,24,1100,201202,25,700,61105,365359,MICHIGAN,2012,Lake-Effect Snow,Z,2,ONTONAGON,MQT,24-FEB-12 11:00:00,EST-5,25-FEB-12 07:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Heavy lake effect snow accumulated over Gogebic and Ontonagon counties from the 24th into the morning of the 25th in the wake of a cold front.,The observer eight miles west of Ontonagon measured 15 inches of lake effect snow in less than 24 hours with one-inch per hour snowfall rates reported.,2012,2
1312,201202,24,1000,201202,25,200,61105,365538,MICHIGAN,2012,Winter Weather,Z,6,ALGER,MQT,24-FEB-12 10:00:00,EST-5,25-FEB-12 02:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,Heavy lake effect snow accumulated over Gogebic and Ontonagon counties from the 24th into the morning of the 25th in the wake of a cold front.,There was a public report of seven inches of lake effect snow in 16 hours eight miles southwest of Munising.,2012,2
1313,201202,29,1000,201202,29,1500,61277,367426,MICHIGAN,2012,Winter Storm,Z,4,BARAGA,MQT,29-FEB-12 10:00:00,EST-5,29-FEB-12 15:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A deep moisture laden low pressure system moving from the Plains into Wisconsin spread heavy snow from southwest Upper Michigan on the evening of the 28th across much of the rest of Upper Michigan on the 29th.,The spotter near Covington estimated five to six inches of snowfall in less than five hours.,2012,2
