,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,Year,Month
40,200702,22,750,200702,22,750,3083,16477,MICHIGAN,2007,High Wind,Z,13,DELTA,MQT,22-FEB-07 07:50:00,EST-5,22-FEB-07 07:50:00,0,0,0,0,0.00K,0.00K,Trained Spotter,59.0,MG,,,,,,,,,,,,,,,,,,,,A strong cold front produced a wind gust to 68 mph at Bark River in the early morning hours of the 22nd.,A wind gust to 68 mph reported by an observer at Bark River.,2007,2
41,200707,5,1222,200707,5,1222,8687,49730,MICHIGAN,2007,Hail,C,109,MENOMINEE,MQT,05-JUL-07 12:22:00,CST-6,05-JUL-07 12:22:00,0,0,0,0,0.00K,0.00K,Public,0.75,,,,,,,,,,,0.0,N,MENOMINEE,0.0,N,MENOMINEE,45.12,-87.62,45.12,-87.62,Severe thunderstorms produced large hail over portions of Menominee and Delta counties on the afternoon of the 5th.,,2007,7
42,200707,5,1410,200707,5,1410,8687,49731,MICHIGAN,2007,Hail,C,41,DELTA,MQT,05-JUL-07 14:10:00,EST-5,05-JUL-07 14:10:00,0,0,0,0,0.00K,0.00K,Public,0.75,,,,,,,,,,,0.0,N,FORD RIVER,0.0,N,FORD RIVER,45.68,-87.15,45.68,-87.15,Severe thunderstorms produced large hail over portions of Menominee and Delta counties on the afternoon of the 5th.,,2007,7
43,200707,8,330,200707,8,333,8688,49733,MICHIGAN,2007,Hail,C,61,HOUGHTON,MQT,08-JUL-07 03:30:00,EST-5,08-JUL-07 03:33:00,0,0,0,0,10.00K,0.00K,Public,1.75,,,,,,,,,,,0.0,N,TWIN LAKES,0.0,N,TWIN LAKES,46.9,-88.83,46.9,-88.83,Severe thunderstorms pounded west and central Upper Michigan with large hail and damaging wind on the morning of the 8th.,Trees stripped of leaves with some vehicle damage.,2007,7
44,200707,8,359,200707,8,359,8688,49734,MICHIGAN,2007,Hail,C,61,HOUGHTON,MQT,08-JUL-07 03:59:00,EST-5,08-JUL-07 03:59:00,0,0,0,0,0.00K,0.00K,Trained Spotter,0.75,,,,,,,,,,,0.0,N,ALSTON,0.0,N,ALSTON,46.77,-88.73,46.77,-88.73,Severe thunderstorms pounded west and central Upper Michigan with large hail and damaging wind on the morning of the 8th.,,2007,7
463,200706,18,1928,200706,18,1928,6634,38574,MICHIGAN,2007,Thunderstorm Wind,C,3,ALGER,MQT,18-JUN-07 19:28:00,EST-5,18-JUN-07 19:28:00,0,0,0,0,0.00K,0.00K,Trained Spotter,50.0,EG,,,,,,,,,,0.0,N,MUNISING,0.0,N,MUNISING,46.4,-86.65,46.4,-86.65,Severe thunderstorms produced damaging wind gusts across portions of west and central Upper Michigan on the afternoon and evening of the 18th.,A few two-inch diameter branches down.,2007,6
549,200706,18,1936,200706,18,1936,6634,38576,MICHIGAN,2007,Thunderstorm Wind,C,153,SCHOOLCRAFT,MQT,18-JUN-07 19:36:00,EST-5,18-JUN-07 19:36:00,0,0,0,0,0.00K,0.00K,Law Enforcement,50.0,EG,,,,,,,,,,2.0,W,STEUBEN,2.0,W,STEUBEN,46.18,-86.4918,46.18,-86.4918,Severe thunderstorms produced damaging wind gusts across portions of west and central Upper Michigan on the afternoon and evening of the 18th.,One tree down on Triangle Lake.,2007,6
550,200706,26,1650,200706,26,1650,7287,41898,MICHIGAN,2007,Hail,C,53,GOGEBIC,MQT,26-JUN-07 16:50:00,CST-6,26-JUN-07 16:50:00,0,0,0,0,0.00K,0.00K,Trained Spotter,0.75,,,,,,,,,,,0.0,N,WAKEFIELD,0.0,N,WAKEFIELD,46.47,-89.92,46.47,-89.92,Thunderstorms dropped large hail over Wakefield on the evening of the 26th.,,2007,6
551,200706,26,1713,200706,26,1713,7287,41899,MICHIGAN,2007,Hail,C,53,GOGEBIC,MQT,26-JUN-07 17:13:00,CST-6,26-JUN-07 17:13:00,0,0,0,0,0.00K,0.00K,Trained Spotter,0.75,,,,,,,,,,,0.0,N,WAKEFIELD,0.0,N,WAKEFIELD,46.47,-89.92,46.47,-89.92,Thunderstorms dropped large hail over Wakefield on the evening of the 26th.,,2007,6
959,200706,7,1650,200706,7,1652,6590,38363,MICHIGAN,2007,Hail,C,109,MENOMINEE,MQT,07-JUN-07 16:50:00,CST-6,07-JUN-07 16:52:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.75,,,,,,,,,,,2.0,SW,BAGLEY,2.0,SW,BAGLEY,45.5296,-87.6092,45.5296,-87.6092,Severe Thunderstorms produced large hail and damaging winds over west and south central Upper Michigan on the afternoon and evening of the 7th.  A tornado also formed over Menominee County and uprooted numerous trees west of the town of Banat.,Hail lasted for one to two minutes.,2007,6
