,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,Year,Month
735,202002,5,2000,202002,6,100,145271,872225,MICHIGAN,2020,Lakeshore Flood,Z,83,MONROE,DTX,05-FEB-20 20:00:00,EST-5,06-FEB-20 01:00:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,Northeast winds of 20 to 30 mph over western Lake Erie and high water levels and waves caused lakeshore flooding and erosion  along the Monroe Shoreline. The water level at Toledo peaked at 72 inches near midnight on February 5th.,,2020,2
736,202002,25,1800,202002,27,900,144954,870401,MICHIGAN,2020,Winter Weather,Z,81,HILLSDALE,IWX,25-FEB-20 18:00:00,EST-5,27-FEB-20 09:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,A potent upper level disturbance produced a long duration snow event late February 25th through early February 27th. Snowfall totals ranged between 4 and 8 inches.,"Periods of light to occasionally moderate snow and below freezing temperatures created difficult travel conditions late February 25th through early February 27th. Snowfall totals across the county generally ranged between 6 and 8 inches. Untreated and lesser traveled roads became snow covered and slick in spots, especially during the overnight and morning hours. Numerous school cancellations and slide-offs were reported across the region.",2020,2
737,202002,25,1800,202002,27,900,144954,870402,MICHIGAN,2020,Winter Weather,Z,80,BRANCH,IWX,25-FEB-20 18:00:00,EST-5,27-FEB-20 09:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,A potent upper level disturbance produced a long duration snow event late February 25th through early February 27th. Snowfall totals ranged between 4 and 8 inches.,"Periods of light to occasionally moderate snow and below freezing temperatures created difficult travel conditions late February 25th through early February 27th. Snowfall totals across the county generally ranged between 6 and 8 inches. Untreated and lesser traveled roads became snow covered and slick in spots, especially during the overnight and morning hours. Numerous school cancellations and slide-offs were reported across the region.",2020,2
738,202002,25,1800,202002,27,900,144954,870403,MICHIGAN,2020,Winter Weather,Z,79,ST. JOSEPH,IWX,25-FEB-20 18:00:00,EST-5,27-FEB-20 09:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,A potent upper level disturbance produced a long duration snow event late February 25th through early February 27th. Snowfall totals ranged between 4 and 8 inches.,"Periods of light to occasionally moderate snow and below freezing temperatures created difficult travel conditions late February 25th through early February 27th. Snowfall totals across the county generally ranged between 5 and 7 inches. Untreated and lesser traveled roads became snow covered and slick in spots, especially during the overnight and morning hours. Numerous school cancellations and slide-offs were reported across the region.",2020,2
1007,202002,25,1800,202002,27,900,144954,870404,MICHIGAN,2020,Winter Weather,Z,78,CASS,IWX,25-FEB-20 18:00:00,EST-5,27-FEB-20 09:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,A potent upper level disturbance produced a long duration snow event late February 25th through early February 27th. Snowfall totals ranged between 4 and 8 inches.,"Periods of light to occasionally moderate snow and below freezing temperatures created difficult travel conditions late February 25th through early February 27th. Snowfall totals across the county generally ranged between 5 and 7 inches. Untreated and lesser traveled roads became snow covered and slick in spots, especially during the overnight and morning hours. Numerous school cancellations and slide-offs were reported across the region.",2020,2
1008,202002,25,1800,202002,27,900,144954,870405,MICHIGAN,2020,Winter Weather,Z,77,BERRIEN,IWX,25-FEB-20 18:00:00,EST-5,27-FEB-20 09:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A potent upper level disturbance produced a long duration snow event late February 25th through early February 27th. Snowfall totals ranged between 4 and 8 inches.,"Periods of light to occasionally moderate snow and below freezing temperatures created difficult travel conditions late February 25th through early February 27th. Snowfall totals across the county generally ranged between 4 and 7 inches. Untreated and lesser traveled roads became snow covered and slick in spots, especially during the overnight and morning hours. Numerous school cancellations and slide-offs were reported across the region.",2020,2
1092,202006,19,1630,202006,19,1640,149572,901524,MICHIGAN,2020,Thunderstorm Wind,C,43,DICKINSON,MQT,19-JUN-20 16:30:00,CST-6,19-JUN-20 16:40:00,0,0,0,0,30.00K,0.00K,Public,55.0,EG,,,,,,,,,,2.0,SSE,LORETTO,2.0,SSE,LORETTO,45.75,-87.81,45.75,-87.81,Increasing moisture and instability ahead of an approaching cold front produced a severe thunderstorm and damaging winds on Lake Louise in Dickinson County on the evening of the 19th.,"There was a public report of a severe thunderstorm at a cottage on Lake Louise.  The cottage sustained roof and chimney damage when a 18-inch diameter 50+ foot high spruce tree was uprooted by thunderstorm winds.  The storm also sheared off a flagpole and damaged a kayak, paddleboard and heavy patio furniture.",2020,6
2504,202010,23,1300,202010,23,1800,153899,926770,MICHIGAN,2020,Lakeshore Flood,Z,16,EMMET,APX,23-OCT-20 13:00:00,EST-5,23-OCT-20 18:00:00,0,0,0,0,5.00K,0.00K,911 Call Center,,,,,,,,,,,,,,,,,,,,,,"Low pressure lifted across northern lower Michigan early in the morning of the 23rd. Very heavy rain fell just in advance of this low, late on the 22nd and early on the 23rd. 24 hour rainfall totals were 5.00 in Suttons Bay, 4.98 in Lake Ann, and 4.73 in Gaylord. Following a period of relatively dry weather, most flooding issues were minor. However, more significant road flooding occurred in and near Traverse City. In addition, gusty northwest winds in the wake of the low contributed to lakeshore flooding along the Lake Michigan coast on the 23rd.",Wilderness Park Drive was closed between Headlands Rd and Straits View Dr for five hours due to lakeshore flooding.,2020,0
2531,202010,22,2300,202010,23,1100,153899,926774,MICHIGAN,2020,Flood,C,55,GRAND TRAVERSE,APX,22-OCT-20 23:00:00,EST-5,23-OCT-20 11:00:00,0,0,0,0,35.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,1.0,W,TRAVERSE CITY,1.0,ENE,(TVC)TRAVERSE CITY A,44.7724,-85.64399999999999,44.7573,-85.5515,"Low pressure lifted across northern lower Michigan early in the morning of the 23rd. Very heavy rain fell just in advance of this low, late on the 22nd and early on the 23rd. 24 hour rainfall totals were 5.00 in Suttons Bay, 4.98 in Lake Ann, and 4.73 in Gaylord. Following a period of relatively dry weather, most flooding issues were minor. However, more significant road flooding occurred in and near Traverse City. In addition, gusty northwest winds in the wake of the low contributed to lakeshore flooding along the Lake Michigan coast on the 23rd.","Road flooding occurred in a number of places in the Traverse City area. Logans Landing along the Boardman River saw the parking lot flood. Eleventh St and Division St saw flooding, as did West Front St and Madison Dr. Flooding also occurred in the Three Mile Rd area, near Mitchel Creek.",2020,0
3460,202001,11,1300,202001,14,600,145193,872215,MICHIGAN,2020,Flood,C,99,MACOMB,DTX,11-JAN-20 13:00:00,EST-5,14-JAN-20 06:00:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,,,Heavy Rain,,,,,,,,,3.0,WNW,MT CLEMENS,3.0,NW,MT CLEMENS,42.596000000000004,-82.9269,42.6112,-82.9095,Two to four inches of rain with a frozen ground lead to moderate flooding along the Huron River and Clinton River.,Moderate flooding was reported along the Clinton River as the river stage reached 17.83 feet near Clinton Township on January 11th and 16.00 feet near Mount Clemens on January 13th.,2020,1
