,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,Year,Month
307,201409,4,1148,201409,4,1148,90305,542358,MICHIGAN,2014,Lightning,C,109,MENOMINEE,MQT,04-SEP-14 11:48:00,CST-6,04-SEP-14 11:48:00,1,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,1.0,N,POWERS,1.0,N,POWERS,45.69,-87.53,45.69,-87.53,Frontal boundaries from a low pressure system tracking through northwest Ontario produced heavy rain and a few severe thunderstorms over south central Upper Michigan from the 4th into the early morning of the 5th.,A man was struck by lightning in Powers but was reported to be conscious and bleeding.,2014,9
308,201409,4,1030,201409,4,1430,90305,542359,MICHIGAN,2014,Flash Flood,C,43,DICKINSON,MQT,04-SEP-14 10:30:00,CST-6,04-SEP-14 14:30:00,0,0,0,0,30.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,0.0,E,ANTOINE,0.0,W,IRON MTN,45.83,-88.06,45.8295,-88.0587,Frontal boundaries from a low pressure system tracking through northwest Ontario produced heavy rain and a few severe thunderstorms over south central Upper Michigan from the 4th into the early morning of the 5th.,More than two inches of heavy rainfall in less than two hours caused flash flooding in the Iron Mountain area into early afternoon on the 4th.  The Dickinson County Sheriff reported flooding on US Highway 2 with several sections of the road under 2.5 feet of water causing several cars to stall.  Several businesses were also flooded.,2014,9
309,201409,4,1030,201409,4,1430,90305,542360,MICHIGAN,2014,Flash Flood,C,43,DICKINSON,MQT,04-SEP-14 10:30:00,CST-6,04-SEP-14 14:30:00,0,0,0,0,20.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,1.0,NE,NORWAY,1.0,ENE,NORWAY,45.7864,-87.9087,45.7835,-87.9086,Frontal boundaries from a low pressure system tracking through northwest Ontario produced heavy rain and a few severe thunderstorms over south central Upper Michigan from the 4th into the early morning of the 5th.,Nearly two inches of rain in less than two hours caused flash flooding in Norway on the 4th.  The Dickinson County emergency manager reported that two city blocks were flooded with at least two streets closed due to washouts across both lanes.  Several businesses also reported flooded basements.,2014,9
310,201409,5,35,201409,5,38,90305,542361,MICHIGAN,2014,Thunderstorm Wind,C,109,MENOMINEE,MQT,05-SEP-14 00:35:00,CST-6,05-SEP-14 00:38:00,0,0,0,0,0.50K,0.00K,Public,50.0,EG,,,,,,,,,,1.0,S,TALBOT,1.0,S,TALBOT,45.49,-87.6,45.49,-87.6,Frontal boundaries from a low pressure system tracking through northwest Ontario produced heavy rain and a few severe thunderstorms over south central Upper Michigan from the 4th into the early morning of the 5th.,There was a delayed public report of trees down on Number 26 Lane near Daggett from a severe thunderstorm.  Time of the report was estimated from the radar.,2014,9
323,201409,4,600,201409,5,600,90305,542733,MICHIGAN,2014,Heavy Rain,C,109,MENOMINEE,MQT,04-SEP-14 06:00:00,CST-6,05-SEP-14 06:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,0.0,NW,(MNM)TWIN CO APT MEN,0.0,NW,(MNM)TWIN CO APT MEN,45.12,-87.63,45.12,-87.63,Frontal boundaries from a low pressure system tracking through northwest Ontario produced heavy rain and a few severe thunderstorms over south central Upper Michigan from the 4th into the early morning of the 5th.,The Menominee Airport measured 3.33 inches of rain in 24 hours.,2014,9
324,201409,4,500,201409,5,500,90305,542734,MICHIGAN,2014,Heavy Rain,C,43,DICKINSON,MQT,04-SEP-14 05:00:00,CST-6,05-SEP-14 05:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,2.0,N,QUINN,2.0,N,QUINN,45.83,-88.0,45.83,-88.0,Frontal boundaries from a low pressure system tracking through northwest Ontario produced heavy rain and a few severe thunderstorms over south central Upper Michigan from the 4th into the early morning of the 5th.,An automated CoCoRaHS site measured 3.31 inches of rain in 24 hours near Quinnesec.,2014,9
325,201409,4,1120,201409,4,1124,90305,542738,MICHIGAN,2014,Thunderstorm Wind,C,109,MENOMINEE,MQT,04-SEP-14 11:20:00,CST-6,04-SEP-14 11:24:00,0,0,0,0,1.00K,0.00K,Public,50.0,EG,,,,,,,,,,1.0,SE,CEDAR RIVER,1.0,SE,CEDAR RIVER,45.41,-87.35,45.41,-87.35,Frontal boundaries from a low pressure system tracking through northwest Ontario produced heavy rain and a few severe thunderstorms over south central Upper Michigan from the 4th into the early morning of the 5th.,There was a delayed report of a metal shed blown 50 feet into the woods near Cedar River.,2014,9
358,201409,20,1807,201409,20,1807,89794,540319,MICHIGAN,2014,Hail,C,49,GENESEE,DTX,20-SEP-14 18:07:00,EST-5,20-SEP-14 18:07:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.0,,,,,,,,,,,1.0,N,OTISVILLE,1.0,N,OTISVILLE,43.18,-83.52,43.18,-83.52,"On the early evening of September 20, 2014, strong to severe thunderstorms formed ahead of a cold front crossing central lower Michigan. These storms raced eastward at 45 mph causing areas of damage across parts of the area.",,2014,9
359,201409,20,1755,201409,20,1755,89794,540320,MICHIGAN,2014,Thunderstorm Wind,C,91,LENAWEE,DTX,20-SEP-14 17:55:00,EST-5,20-SEP-14 17:55:00,0,0,0,0,0.00K,0.00K,Law Enforcement,56.0,EG,,,,,,,,,,1.0,N,CAMBRIDGE JCT,1.0,N,CAMBRIDGE JCT,42.06,-84.22,42.06,-84.22,"On the early evening of September 20, 2014, strong to severe thunderstorms formed ahead of a cold front crossing central lower Michigan. These storms raced eastward at 45 mph causing areas of damage across parts of the area.",Numerous trees reported down.,2014,9
360,201409,20,1706,201409,20,1706,89794,540321,MICHIGAN,2014,Thunderstorm Wind,C,145,SAGINAW,DTX,20-SEP-14 17:06:00,EST-5,20-SEP-14 17:06:00,0,0,0,0,0.00K,0.00K,Law Enforcement,50.0,EG,,,,,,,,,,1.0,N,BRANT,1.0,N,BRANT,43.26,-84.23,43.26,-84.23,"On the early evening of September 20, 2014, strong to severe thunderstorms formed ahead of a cold front crossing central lower Michigan. These storms raced eastward at 45 mph causing areas of damage across parts of the area.",Power line reported down.,2014,9
